id,traceId,traceName,type,name,startTime,endTime,completionStartTime,environment,version,userId,sessionId,level,statusMessage,promptName,promptId,promptVersion,modelId,providedModelName,modelParameters,usageDetails,costDetails,totalCost,input,output,metadata,latencyMs,timeToFirstTokenMs,tags,release,parentObservationId,comments,manual_evaluation
2be51bc33b53e7be,3b562cb08b687d2512ba29335d445269,,CHAIN,RunnableLambda,12:06.2,12:06.2,,default,,,,DEFAULT,,,,,,,{},{},{},0,"{""response_draft"": ""Thank you for your feedback! We're thrilled you're happy with the product and appreciate your suggestion regarding the filters—we'll pass it along to our team for consideration. Appreciate your support!""}",Thank you for your feedback! We're thrilled you're happy with the product and appreciate your suggestion regarding the filters—we'll pass it along to our team for consideration. Appreciate your support!,"{""tags"":""[\""seq:step:4\""]"",""scope.attributes.public_key"":""pk-lf-cc79cb22-1171-46c5-a42b-022e6d5c2825"",""scope.version"":""4.7.1"",""scope.name"":""langfuse-sdk"",""resourceAttributes.service.name"":""unknown_service"",""resourceAttributes.telemetry.sdk.version"":""1.38.0"",""resourceAttributes.telemetry.sdk.name"":""opentelemetry"",""resourceAttributes.telemetry.sdk.language"":""python""}",2,,[],,315feb1f4a71a1fb,[],
307cf3d725176810,3b562cb08b687d2512ba29335d445269,,CHAIN,PydanticOutputParser,12:06.2,12:06.2,,default,,,,DEFAULT,,,,,,,{},{},{},0,"{""content"": ""{  \""response_draft\"": \""Thank you for your feedback! We're thrilled you're happy with the product and appreciate your suggestion regarding the filters—we'll pass it along to our team for consideration. Appreciate your support!\""\n}"", ""additional_kwargs"": {}, ""response_metadata"": {""token_usage"": {""completion_tokens"": 388, ""prompt_tokens"": 400, ""total_tokens"": 788, ""completion_time"": 0.95733428, ""completion_tokens_details"": {""reasoning_tokens"": 338}, ""prompt_time"": 0.033944503, ""prompt_tokens_details"": null, ""queue_time"": 0.263315259, ""total_time"": 0.991278783}, ""model_name"": ""qwen/qwen3-32b"", ""system_fingerprint"": ""fp_2bfcc54d36"", ""service_tier"": ""on_demand"", ""finish_reason"": ""stop"", ""logprobs"": null, ""model_provider"": ""groq""}, ""type"": ""ai"", ""name"": null, ""id"": ""lc_run--019e977b-ab00-7112-ac88-448214594df5-0"", ""tool_calls"": [], ""invalid_tool_calls"": [], ""usage_metadata"": {""input_tokens"": 400, ""output_tokens"": 388, ""total_tokens"": 788, ""output_token_details"": {""reasoning"": 338}}}","{""response_draft"": ""Thank you for your feedback! We're thrilled you're happy with the product and appreciate your suggestion regarding the filters—we'll pass it along to our team for consideration. Appreciate your support!""}","{""tags"":""[\""seq:step:3\""]"",""scope.attributes.public_key"":""pk-lf-cc79cb22-1171-46c5-a42b-022e6d5c2825"",""scope.version"":""4.7.1"",""scope.name"":""langfuse-sdk"",""resourceAttributes.service.name"":""unknown_service"",""resourceAttributes.telemetry.sdk.version"":""1.38.0"",""resourceAttributes.telemetry.sdk.name"":""opentelemetry"",""resourceAttributes.telemetry.sdk.language"":""python""}",1,,[],,315feb1f4a71a1fb,[],
82bc465184fc3231,3b562cb08b687d2512ba29335d445269,,CHAIN,RunnableLambda,12:06.1,12:06.1,,default,,,,DEFAULT,,,,,,,{},{},{},0,"{""priority"": ""Low""}",Low,"{""tags"":""[\""seq:step:4\""]"",""scope.attributes.public_key"":""pk-lf-cc79cb22-1171-46c5-a42b-022e6d5c2825"",""scope.version"":""4.7.1"",""scope.name"":""langfuse-sdk"",""resourceAttributes.service.name"":""unknown_service"",""resourceAttributes.telemetry.sdk.version"":""1.38.0"",""resourceAttributes.telemetry.sdk.name"":""opentelemetry"",""resourceAttributes.telemetry.sdk.language"":""python""}",1,,[],,815bec8d62ab20fb,[],
5c166c0cf49427c3,3b562cb08b687d2512ba29335d445269,,CHAIN,PydanticOutputParser,12:06.1,12:06.1,,default,,,,DEFAULT,,,,,,,{},{},{},0,"{""content"": ""```json\n{\n  \""priority\"": \""Low\""\n}\n```"", ""additional_kwargs"": {}, ""response_metadata"": {""token_usage"": {""completion_tokens"": 315, ""prompt_tokens"": 252, ""total_tokens"": 567, ""completion_time"": 0.857412114, ""completion_tokens_details"": {""reasoning_tokens"": 298}, ""prompt_time"": 0.013161253, ""prompt_tokens_details"": null, ""queue_time"": 0.274985373, ""total_time"": 0.870573367}, ""model_name"": ""qwen/qwen3-32b"", ""system_fingerprint"": ""fp_2bfcc54d36"", ""service_tier"": ""on_demand"", ""finish_reason"": ""stop"", ""logprobs"": null, ""model_provider"": ""groq""}, ""type"": ""ai"", ""name"": null, ""id"": ""lc_run--019e977b-aaf7-7761-a951-8cc43b7af719-0"", ""tool_calls"": [], ""invalid_tool_calls"": [], ""usage_metadata"": {""input_tokens"": 252, ""output_tokens"": 315, ""total_tokens"": 567, ""output_token_details"": {""reasoning"": 298}}}","{""priority"": ""Low""}","{""tags"":""[\""seq:step:3\""]"",""scope.attributes.public_key"":""pk-lf-cc79cb22-1171-46c5-a42b-022e6d5c2825"",""scope.version"":""4.7.1"",""scope.name"":""langfuse-sdk"",""resourceAttributes.service.name"":""unknown_service"",""resourceAttributes.telemetry.sdk.version"":""1.38.0"",""resourceAttributes.telemetry.sdk.name"":""opentelemetry"",""resourceAttributes.telemetry.sdk.language"":""python""}",1,,[],,815bec8d62ab20fb,[],
be68ed7a3a81a427,3b562cb08b687d2512ba29335d445269,,CHAIN,RunnableLambda,12:06.1,12:06.1,,default,,,,DEFAULT,,,,,,,{},{},{},0,"{""routing_queue"": ""Product Team""}",Product Team,"{""tags"":""[\""seq:step:4\""]"",""scope.attributes.public_key"":""pk-lf-cc79cb22-1171-46c5-a42b-022e6d5c2825"",""scope.version"":""4.7.1"",""scope.name"":""langfuse-sdk"",""resourceAttributes.service.name"":""unknown_service"",""resourceAttributes.telemetry.sdk.version"":""1.38.0"",""resourceAttributes.telemetry.sdk.name"":""opentelemetry"",""resourceAttributes.telemetry.sdk.language"":""python""}",1,,[],,0e006d18c7d8c0e4,[],
aaaa1dfc0bca58ed,3b562cb08b687d2512ba29335d445269,,CHAIN,PydanticOutputParser,12:06.1,12:06.1,,default,,,,DEFAULT,,,,,,,{},{},{},0,"{""content"": ""```json\n{\n  \""routing_queue\"": \""Product Team\""\n}\n```"", ""additional_kwargs"": {}, ""response_metadata"": {""token_usage"": {""completion_tokens"": 313, ""prompt_tokens"": 268, ""total_tokens"": 581, ""completion_time"": 0.844095683, ""completion_tokens_details"": {""reasoning_tokens"": 294}, ""prompt_time"": 0.026505704, ""prompt_tokens_details"": null, ""queue_time"": 0.271360666, ""total_time"": 0.870601387}, ""model_name"": ""qwen/qwen3-32b"", ""system_fingerprint"": ""fp_2bfcc54d36"", ""service_tier"": ""on_demand"", ""finish_reason"": ""stop"", ""logprobs"": null, ""model_provider"": ""groq""}, ""type"": ""ai"", ""name"": null, ""id"": ""lc_run--019e977b-aafc-7ab3-8924-5ea011f2c54f-0"", ""tool_calls"": [], ""invalid_tool_calls"": [], ""usage_metadata"": {""input_tokens"": 268, ""output_tokens"": 313, ""total_tokens"": 581, ""output_token_details"": {""reasoning"": 294}}}","{""routing_queue"": ""Product Team""}","{""tags"":""[\""seq:step:3\""]"",""scope.attributes.public_key"":""pk-lf-cc79cb22-1171-46c5-a42b-022e6d5c2825"",""scope.version"":""4.7.1"",""scope.name"":""langfuse-sdk"",""resourceAttributes.service.name"":""unknown_service"",""resourceAttributes.telemetry.sdk.version"":""1.38.0"",""resourceAttributes.telemetry.sdk.name"":""opentelemetry"",""resourceAttributes.telemetry.sdk.language"":""python""}",1,,[],,0e006d18c7d8c0e4,[],
dcbfa3795ba0bbeb,3b562cb08b687d2512ba29335d445269,,CHAIN,RunnableLambda,12:05.7,12:05.7,,default,,,,DEFAULT,,,,,,,{},{},{},0,"{""category"": ""General Inquiry""}",General Inquiry,"{""tags"":""[\""seq:step:4\""]"",""scope.attributes.public_key"":""pk-lf-cc79cb22-1171-46c5-a42b-022e6d5c2825"",""scope.version"":""4.7.1"",""scope.name"":""langfuse-sdk"",""resourceAttributes.service.name"":""unknown_service"",""resourceAttributes.telemetry.sdk.version"":""1.38.0"",""resourceAttributes.telemetry.sdk.name"":""opentelemetry"",""resourceAttributes.telemetry.sdk.language"":""python""}",1,,[],,4b497510b5ead953,[],
76ae579ceed4f988,3b562cb08b687d2512ba29335d445269,,CHAIN,PydanticOutputParser,12:05.7,12:05.7,,default,,,,DEFAULT,,,,,,,{},{},{},0,"{""content"": ""{\""category\"": \""General Inquiry\""}"", ""additional_kwargs"": {}, ""response_metadata"": {""token_usage"": {""completion_tokens"": 217, ""prompt_tokens"": 280, ""total_tokens"": 497, ""completion_time"": 0.502470676, ""completion_tokens_details"": {""reasoning_tokens"": 206}, ""prompt_time"": 0.013877477, ""prompt_tokens_details"": null, ""queue_time"": 0.171282681, ""total_time"": 0.516348153}, ""model_name"": ""qwen/qwen3-32b"", ""system_fingerprint"": ""fp_2bfcc54d36"", ""service_tier"": ""on_demand"", ""finish_reason"": ""stop"", ""logprobs"": null, ""model_provider"": ""groq""}, ""type"": ""ai"", ""name"": null, ""id"": ""lc_run--019e977b-aaf2-72a1-a332-6a604be9b656-0"", ""tool_calls"": [], ""invalid_tool_calls"": [], ""usage_metadata"": {""input_tokens"": 280, ""output_tokens"": 217, ""total_tokens"": 497, ""output_token_details"": {""reasoning"": 206}}}","{""category"": ""General Inquiry""}","{""tags"":""[\""seq:step:3\""]"",""scope.attributes.public_key"":""pk-lf-cc79cb22-1171-46c5-a42b-022e6d5c2825"",""scope.version"":""4.7.1"",""scope.name"":""langfuse-sdk"",""resourceAttributes.service.name"":""unknown_service"",""resourceAttributes.telemetry.sdk.version"":""1.38.0"",""resourceAttributes.telemetry.sdk.name"":""opentelemetry"",""resourceAttributes.telemetry.sdk.language"":""python""}",1,,[],,4b497510b5ead953,[],
81bc8ddc4d2a561a,3b562cb08b687d2512ba29335d445269,,GENERATION,ChatGroq,12:04.9,12:06.2,,default,,,,DEFAULT,,,,,,qwen/qwen3-32b,{},"{""input"":""400"",""output"":""50"",""total"":""788"",""output_reasoning"":""338""}",{},0,"[{""role"": ""user"", ""content"": ""\nGenerate a customer support response draft.\n\nRules:\n1. Keep the response concise (maximum 1-2 lines).\n2. If the customer expresses frustration, inconvenience, dissatisfaction, a complaint, or a problem:\n   - Start with a brief apology/regret statement.\n   - Acknowledge the issue and mention that it will be addressed.\n3. If the customer message is neutral (question, inquiry, information request):\n   - Thank the customer for contacting us.\n   - Provide a brief helpful response.\n   - End with a polite note such as \""Thank you for reaching out.\""\n4. If the customer message is positive (appreciation, praise, satisfaction):\n   - Thank the customer for their feedback/support.\n   - Respond positively and professionally.\n5. Do not use bullet points.\n6. Do not exceed 2 sentences.\n\nTicket:\nFinally got my hands on this beauty. Worth it! Wasn't really expecting a dslr like picture but the quality of image didn't disappoint. \nThe lens effects are beautiful but when it comes to filters just two or three are good, rest are useless. Size is pretty good and very easy to use. Loved it!\n\nThe output should be formatted as a JSON instance that conforms to the JSON schema below.\n\nAs an example, for the schema {\""properties\"": {\""foo\"": {\""title\"": \""Foo\"", \""description\"": \""a list of strings\"", \""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}}}, \""required\"": [\""foo\""]}\nthe object {\""foo\"": [\""bar\"", \""baz\""]} is a well-formatted instance of the schema. The object {\""properties\"": {\""foo\"": [\""bar\"", \""baz\""]}} is not well-formatted.\n\nHere is the output schema:\n```\n{\""properties\"": {\""response_draft\"": {\""description\"": \""Professional customer support response\"", \""title\"": \""Response Draft\"", \""type\"": \""string\""}}, \""required\"": [\""response_draft\""]}\n```\n""}]","{""role"": ""assistant"", ""content"": ""{  \""response_draft\"": \""Thank you for your feedback! We're thrilled you're happy with the product and appreciate your suggestion regarding the filters—we'll pass it along to our team for consideration. Appreciate your support!\""\n}""}","{""ls_integration"":""langchain_chat_model"",""ls_temperature"":""0.7"",""ls_model_type"":""chat"",""ls_model_name"":""qwen/qwen3-32b"",""ls_provider"":""groq"",""tags"":""[\""seq:step:2\""]"",""scope.attributes.public_key"":""pk-lf-cc79cb22-1171-46c5-a42b-022e6d5c2825"",""scope.version"":""4.7.1"",""scope.name"":""langfuse-sdk"",""resourceAttributes.service.name"":""unknown_service"",""resourceAttributes.telemetry.sdk.version"":""1.38.0"",""resourceAttributes.telemetry.sdk.name"":""opentelemetry"",""resourceAttributes.telemetry.sdk.language"":""python""}",1369,,[],,315feb1f4a71a1fb,[],
315feb1f4a71a1fb,3b562cb08b687d2512ba29335d445269,,CHAIN,RunnableSequence,12:04.9,12:06.2,,default,,,,DEFAULT,,,,,,,{},{},{},0,"{""ticket_text"": ""Finally got my hands on this beauty. Worth it! Wasn't really expecting a dslr like picture but the quality of image didn't disappoint. \nThe lens effects are beautiful but when it comes to filters just two or three are good, rest are useless. Size is pretty good and very easy to use. Loved it!""}",Thank you for your feedback! We're thrilled you're happy with the product and appreciate your suggestion regarding the filters—we'll pass it along to our team for consideration. Appreciate your support!,"{""tags"":""[\""map:key:response_draft\""]"",""scope.attributes.public_key"":""pk-lf-cc79cb22-1171-46c5-a42b-022e6d5c2825"",""scope.version"":""4.7.1"",""scope.name"":""langfuse-sdk"",""resourceAttributes.service.name"":""unknown_service"",""resourceAttributes.telemetry.sdk.version"":""1.38.0"",""resourceAttributes.telemetry.sdk.name"":""opentelemetry"",""resourceAttributes.telemetry.sdk.language"":""python""}",1374,,[],,0139caeadd3df469,[],
